rank,symbol,name,Firm Name
054,MELI,"MercadoLibre, Inc.","Pistrelli, Henry Martin y Asociados S.A."
055,CMCSA,Comcast Corporation,Deloitte &  Touche LLP
056,ADBE,Adobe Inc.,KPMG LLP
057,DASH,"DoorDash, Inc.",KPMG LLP
058,MDLZ,"Mondelez International, Inc.",PricewaterhouseCoopers LLP
059,AEP,"American Electric Power Company, Inc.",PricewaterhouseCoopers LLP
060,ORLY,"O'Reilly Automotive, Inc.",Ernst & Young LLP
061,INTU,Intuit Inc.,Ernst & Young LLP
062,NXPI,NXP Semiconductors N.V.,EY Accountants B.V.
063,CTAS,Cintas Corporation,Ernst & Young LLP
064,ROST,"Ross Stores, Inc.",Deloitte &  Touche LLP
065,TER,"Teradyne, Inc.",PricewaterhouseCoopers LLP
066,ALAB,"Astera Labs, Inc.",PricewaterhouseCoopers LLP
067,WBD,"Warner Bros. Discovery, Inc.",PricewaterhouseCoopers LLP
068,REGN,"Regeneron Pharmaceuticals, Inc.",PricewaterhouseCoopers LLP
069,MPWR,"Monolithic Power Systems, Inc.",Ernst & Young LLP
070,LITE,Lumentum Holdings Inc.,Deloitte &  Touche LLP
071,PCAR,PACCAR Inc.,Ernst & Young LLP
072,NBIS,Nebius Group N.V.,Reanda Audit & Assurance B.V.
073,BKR,Baker Hughes Company,KPMG LLP
074,FAST,Fastenal Company,PricewaterhouseCoopers LLP
075,CRWV,"CoreWeave, Inc.",Deloitte &  Touche LLP
076,EA,Electronic Arts Inc.,KPMG LLP
077,XEL,Xcel Energy Inc.,Deloitte &  Touche LLP
078,FANG,"Diamondback Energy, Inc.",Grant Thornton LLP
079,FER,Ferrovial N.V.,"PricewaterhouseCoopers Auditores, S.L."
080,RKLB,Rocket Lab Corporation,Deloitte &  Touche LLP
081,EXC,Exelon Corporation,PricewaterhouseCoopers LLP
082,MCHP,Microchip Technology Incorporated,Ernst & Young LLP
083,CCEP,Coca-Cola Europacific Partners plc,Ernst & Young LLP
084,ODFL,"Old Dominion Freight Line, Inc.",Ernst & Young LLP
085,KDP,Keurig Dr Pepper Inc.,Deloitte &  Touche LLP
086,TTWO,"Take-Two Interactive Software, Inc.",Ernst & Young LLP
087,IDXX,"IDEXX Laboratories, Inc.",PricewaterhouseCoopers LLP
088,ADSK,"Autodesk, Inc.",Ernst & Young LLP
089,PYPL,"PayPal Holdings, Inc.",PricewaterhouseCoopers LLP
090,ALNY,"Alnylam Pharmaceuticals, Inc.",PricewaterhouseCoopers LLP
091,AXON,"Axon Enterprise, Inc.",PricewaterhouseCoopers LLP
092,TRI,Thomson Reuters Corporation,PricewaterhouseCoopers LLP
093,PAYX,"Paychex, Inc.",PricewaterhouseCoopers LLP
094,ROP,"Roper Technologies, Inc.",PricewaterhouseCoopers LLP
095,WDAY,"Workday, Inc.",Ernst & Young LLP
096,GEHC,GE HealthCare Technologies Inc.,Deloitte &  Touche LLP
097,MSTR,Strategy Inc,KPMG LLP
098,CPRT,"Copart, Inc. (DE)",Ernst & Young LLP
099,KHC,The Kraft Heinz Company,PricewaterhouseCoopers LLP
100,DXCM,"DexCom, Inc.",Deloitte &  Touche LLP
